Consecutivo;Global;Estado;Municipio;Trimestre;Año;Indice
1;Nacional;;;1;2005;48,47
2;Nueva;;;1;2005;48,2
3;Usada;;;1;2005;48,76
4;Casa sola;;;1;2005;49,08
5;Casa en condominio - depto.;;;1;2005;47,79
6;Económica - Social;;;1;2005;54,97
7;Media - Residencial;;;1;2005;44,65
8;ZM Valle México;;;1;2005;38,65
9;ZM Guadalajara;;;1;2005;55,28
10;ZM Monterrey;;;1;2005;50,89
11;ZM PueblaTlax;;;1;2005;50,44
12;ZM Toluca;;;1;2005;47,16
13;ZM Tijuana;;;1;2005;53,05
14;ZM León;;;1;2005;52,73
15;ZM Querétaro;;;1;2005;48,16
16;;Aguascalientes;;1;2005;47,12
17;;Baja California;;1;2005;52,22
18;;Baja California Sur;;1;2005;50,81
19;;Campeche;;1;2005;48,68
20;;Coahuila;;1;2005;51,43
21;;Colima;;1;2005;53,31
22;;Chiapas;;1;2005;50,61
23;;Chihuahua;;1;2005;51,64
24;;Ciudad de México;;1;2005;33,81
25;;Durango;;1;2005;51,26
26;;Guanajuato;;1;2005;53
27;;Guerrero;;1;2005;47,29
28;;Hidalgo;;1;2005;53,69
29;;Jalisco;;1;2005;55,13
30;;México;;1;2005;47,16
31;;Michoacán;;1;2005;53,31
32;;Morelos;;1;2005;46,89
33;;Nayarit;;1;2005;51,63
34;;Nuevo León;;1;2005;50,9
35;;Oaxaca;;1;2005;51,3
36;;Puebla;;1;2005;50,4
37;;Querétaro;;1;2005;48,17
38;;Quintana Roo;;1;2005;48,92
39;;San Luis Potosí;;1;2005;51,08
40;;Sinaloa;;1;2005;51,54
41;;Sonora;;1;2005;52,99
42;;Tabasco;;1;2005;50
43;;Tamaulipas;;1;2005;51,36
44;;Tlaxcala;;1;2005;53,72
45;;Veracruz;;1;2005;52,25
46;;Yucatán;;1;2005;44,96
47;;Zacatecas;;1;2005;47,52
48;;Aguascalientes;Aguascalientes;1;2005;46,96
49;;Aguascalientes;Jesús María ;1;2005;46,96
50;;Baja California;Mexicali;1;2005;50,95
51;;Baja California;Tijuana;1;2005;53,1
52;;Baja California Sur;La Paz;1;2005;50,54
53;;Baja California Sur;Los Cabos;1;2005;51,36
54;;Campeche;Campeche;1;2005;49,07
55;;Campeche;Carmen;1;2005;48,3
56;;Coahuila;Saltillo;1;2005;50,3
57;;Coahuila;Torreón;1;2005;51,11
58;;Colima;Manzanillo;1;2005;53,35
59;;Colima;Villa de Álvarez;1;2005;54,62
60;;Chiapas;Tapachula;1;2005;51,49
61;;Chiapas;Tuxtla Gutiérrez;1;2005;49,61
